date,sales
2023-05-20,3694
2023-05-21,3216
2023-05-22,3168
2023-05-23,3857
2023-05-24,3329
2023-05-25,3396
2023-05-26,3270
2023-05-27,3687
2023-05-28,3179
2023-05-29,3465
2023-05-30,3444
2023-05-31,3819
2023-06-01,3852
2023-06-02,3458
2023-06-03,3935
2023-06-04,3475
2023-06-05,2911
2023-06-06,3526
2023-06-07,3482
2023-06-08,3906
2023-06-09,3707
2023-06-10,3663
2023-06-11,3623
2023-06-12,3523
2023-06-13,3864
2023-06-14,3669
2023-06-15,3590
2023-06-16,3134
2023-06-17,2946
2023-06-18,3754
2023-06-19,3611
2023-06-20,3512
2023-06-21,3824
2023-06-22,4026
2023-06-23,3790
2023-06-24,3477
2023-06-25,3837
2023-06-26,3403
2023-06-27,3372
2023-06-28,3826
2023-06-29,3171
2023-06-30,3533
2023-07-01,3554
2023-07-02,3594
2023-07-03,3494
2023-07-04,3446
2023-07-05,3455
2023-07-06,3907
2023-07-07,3670
2023-07-08,3546
2023-07-09,3746
2023-07-10,3300
2023-07-11,3775
2023-07-12,3438
2023-07-13,3897
2023-07-14,3744
2023-07-15,3711
2023-07-16,2805
2023-07-17,3543
2023-07-18,3217
2023-07-19,3522
2023-07-20,3326
2023-07-21,3616
2023-07-22,3526
2023-07-23,3875
2023-07-24,3673
2023-07-25,3529
2023-07-26,3691
2023-07-27,3417
2023-07-28,3279
2023-07-29,3362
2023-07-30,3682
2023-07-31,3049
2023-08-01,3549
2023-08-02,3350
2023-08-03,3593
2023-08-04,3174
2023-08-05,3549
2023-08-06,3377
2023-08-07,3665
2023-08-08,3703
2023-08-09,3419
2023-08-10,3341
2023-08-11,3241
2023-08-12,3452
2023-08-13,3612
2023-08-14,3560
2023-08-15,3583
2023-08-16,4067
2023-08-17,3735
2023-08-18,3702
2023-08-19,3602
2023-08-20,3790
2023-08-21,3680
2023-08-22,3780
2023-08-23,3741
2023-08-24,3788
2023-08-25,3609
2023-08-26,4323
2023-08-27,3821
2023-08-28,4011
2023-08-29,4314
2023-08-30,3952
2023-08-31,3882
2023-09-01,3908
2023-09-02,4318
2023-09-03,3888
2023-09-04,4160
2023-09-05,3775
2023-09-06,4316
2023-09-07,4366
2023-09-08,4538
2023-09-09,4323
2023-09-10,4134
2023-09-11,4323
2023-09-12,3941
2023-09-13,4578
2023-09-14,4095
2023-09-15,4543
2023-09-16,5057
2023-09-17,4032
2023-09-18,4236
2023-09-19,4374
2023-09-20,4660
2023-09-21,3897
2023-09-22,4835
2023-09-23,4512
2023-09-24,4966
2023-09-25,4928
2023-09-26,4606
2023-09-27,4655
2023-09-28,4285
2023-09-29,4882
2023-09-30,4598
2023-10-01,4721
2023-10-02,4530
2023-10-03,4848
2023-10-04,4705
2023-10-05,4566
2023-10-06,4443
2023-10-07,4358
2023-10-08,4413
2023-10-09,4752
2023-10-10,5115
2023-10-11,4423
2023-10-12,4968
2023-10-13,4491
2023-10-14,4326
2023-10-15,4995
2023-10-16,4924
2023-10-17,4885
2023-10-18,4141
2023-10-19,4204
2023-10-20,4519
2023-10-21,4746
2023-10-22,4114
2023-10-23,4622
2023-10-24,4364
2023-10-25,4471
2023-10-26,5106
2023-10-27,4985
2023-10-28,4488
2023-10-29,4681
2023-10-30,4509
2023-10-31,4792
2023-11-01,4655
2023-11-02,4796
2023-11-03,4384
2023-11-04,4276
2023-11-05,4309
2023-11-06,4184
2023-11-07,4080
2023-11-08,4184
2023-11-09,4476
2023-11-10,4215
2023-11-11,4277
2023-11-12,4382
2023-11-13,4374
2023-11-14,4236
2023-11-15,4710
2023-11-16,4511
2023-11-17,4155
2023-11-18,4632
2023-11-19,4388
2023-11-20,4726
2023-11-21,4452
2023-11-22,4910
2023-11-23,4527
2023-11-24,4569
2023-11-25,4710
2023-11-26,4136
2023-11-27,4162
2023-11-28,4315
2023-11-29,3927
2023-11-30,4144
2023-12-01,4442
2023-12-02,4488
2023-12-03,4525
2023-12-04,4141
2023-12-05,4855
2023-12-06,3896
2023-12-07,4215
2023-12-08,4223
2023-12-09,4594
2023-12-10,4608
2023-12-11,4464
2023-12-12,5031
2023-12-13,4357
2023-12-14,4640
2023-12-15,4287
2023-12-16,5315
2023-12-17,4503
2023-12-18,4659
2023-12-19,4649
2023-12-20,4662
2023-12-21,5046
2023-12-22,4856
2023-12-23,4883
2023-12-24,4782
2023-12-25,4893
2023-12-26,4652
2023-12-27,4985
2023-12-28,4574
2023-12-29,4893
2023-12-30,5250
2023-12-31,4975
